发布时间,微博内容
2023-01-11 19:23:38,【广州一小车碰撞行人已致5死13伤，涉事司机已被控制】@广州公安 发布通报：今天17时25分，广州天河路体育东路口发生一起小车碰撞行人的交通事故，目前造成5死13伤。涉事司机温某（男，22岁，广东揭阳人）已被警方控制，事故正在进一步调查处理中。（总台记者魏星 郑澍 陈丽） 
2023-01-17 14:55:28,【#公安部今天起严查酒驾醉驾# 】 1月17日，公安部交通管理局部署在全国开展酒驾醉驾集中整治行动，严防酒驾醉驾肇事导致的恶性交通事故。#郑州3天接诊129例酒精中毒患者# 大象新闻的微博视频 
2023-01-08 13:31:03,【#南昌重大交通事故已造成19人死亡20人受伤#】#江西重大交通事故已致19死20伤# 据南昌县委宣传部消息，南昌县1月8日发生的重大交通事故目前已造成19人死亡20人受伤。  2023年1月8日0时49分许，江西省南昌县幽兰镇S517连接线桃岭村路段发生一起重大道路交通事故。  目前，伤者已送往南昌县人民医院、中 ...全文
2023-01-15 15:01:03,【又是盲区惹的祸，货车变道撞小车】近日，G25长深高速德清段发生了一起十分惊险的交通事故，一辆小车被大货车顶着推行了数十米，罪魁祸首就是“大祸车”的盲区！交警提醒：无论何时何地，都要与大货车保持必要的“安全距离”，切勿将自己置身于危险当中；大货车驾驶员变更车道前应提高警惕注意观察， ...全文
2023-01-13 21:00:21,【#目击者讲述张南高速大巴侧翻现场#：车下一滩血 破窗抬出伤者】1月13日，张南高速重庆彭水喇叭隧道口发生一起交通事故，一位司机讲述事发现场。他称乘客有伤亡，大巴车后窗被破开，有伤者被抬出来。他在现场只看到一辆事故车，车辆下有一滩血。目击者称大巴车侧翻致交通中断，过往车辆排起长队。据 ​
2023-01-12 11:40:37,#平安春运交警同行#【雨雾天气“上岗”，春运期间行车“雾”必小心！】1月12日5时55分许，在象山黄避岙大林村路段发生一起交通事故。经了解，驾驶人余某驾车经过大林村时，由于雨雾天气道路湿滑，视线受阻，导致操作不当，车辆失控后侧滑撞上路旁行道树，驾驶座玻璃碎裂，左侧面严重磨损，所幸余某系了 ​
2023-01-17 19:19:18,#新手司机驾车坠塘一家三口身亡#春节前再报噩耗，江西一家三口坠塘身亡。1月16日江西上饶玉山县，一名新手司机驾车坠入水塘，车里面是一家三口，分别为妻子、丈夫、儿子（1岁），三人均不幸溺亡。经过调查发现，排除凶案可能，这是一起人为失误的交通事故，通报细节如下：1. 妻子由于刚拿驾照操 ...全文
2023-01-18 01:31:09,#后日谈#自己开了车（鬼火）之后，经常去看那些交通事故视频来吓自己不要开这么快，看到那些经常盲穿马路（特别是村道乡道），弹幕就说什么行人全责司机大冤之类的，事实上没开过车的人可能感受不到，很多村道乡道设置不仅仅是单行道，而且很多是在村中心穿过，甚至路边就是房屋，并没有什么缓冲地带， ...全文
2023-01-18 01:31:07,交通事故的判决书我是真不想写啊 
2023-01-18 01:11:53,#去有风的地方#16日S20毕威高速因低温凝冻路面结冰，导致多辆货车以及私家车连环追尾，乘客及时下车躲过一劫，当地应急部门称，至17日12时，未造成亡人交通事故，当地多部门已连发预警信息，路政等部门正撒盐除冰。#漫威#  痞_蜀黍的微博视频 
2023-01-17 14:51:43,【#羊闯入高速被车撞飞# 放羊村民负事故全责】1月17日，记者从高速交警沧州支队获悉一起交通事故。事发当日，一只羊从应急车道闯入高速，行驶在第三车道的车辆躲避不及撞了上去，羊当场死亡，车辆也因此受损。最后警方认定放羊村民负此次事故的全部责任，并对其进入高速的违法行为进行了批评教育，并根 ...全文
2023-01-17 22:10:22,#张若昀和唐艺昕是朋友聚会认识的#我怎么记得之前哪个营销号说是因为交通事故什么的，家里还有个红绿灯😂是我记错了吗？ 
2023-01-18 00:40:23,【#公安部今天起严查酒驾醉驾#】春节日益临近，广大群众即将迎来家人团圆、亲朋相聚的欢乐时刻。节日期间酒驾醉驾违法犯罪行为相对多发，易肇事肇祸。为守护群众平安过年，公安部交通管理局部署在全国开展酒驾醉驾集中整治行动，严防酒驾醉驾肇事导致的恶性交通事故。详情↓↓ 
2023-01-17 23:01:51,#张若昀和唐艺昕是朋友聚会认识的#我还以为他俩是一次小交通事故认识的，谁撞了谁车来着？我又记岔了。 
2023-01-18 00:26:13,哈尔滨#肇事男子冲撞人群后遍地撒钱# 撞人后还在撒钱撒烟，这是干什么？#广州5死13伤交通事故目击者发声##广州一宝马冲撞人群已致5死13伤# 虎扑的步行街的微博视频  哈尔滨 
2023-01-18 00:19:28,"2023年1月18日0:20银昆高速宝川段宝鸡方向南湖至喜神坝之间K783的交通事故已处理完毕,道路恢复正常通行。 "
2023-01-18 00:18:32,#安徽一劳斯莱斯婚车撞上石墩受损严重# 在日常生活中，交通事故常有发生，为大家总结一下车祸产生九大常见原因，出门在外，一定要注意安全 
2023-01-17 23:18:41,棣欣引力张和唐第一次见面是交通事故追尾不欢而散第二次见面是朋友聚会之后才在一起有没有跟我们小情侣很像？第一次见面朋友聚会一个吵一个劝第二次见面时隔四年一起拍戏希望我们小情侣早日官宣步入婚姻殿堂 
2023-01-18 00:06:44,#张若昀和唐艺昕是朋友聚会认识的#第一次见面是交通事故追尾，只不过双方不欢而散，后来再次在朋友聚会又遇见了才正真结缘认识是这样吧……他俩真的好甜啊……有缘的人终究会遇见，以任何方式…… 
2023-01-18 00:03:03,#张若昀和唐艺昕是朋友聚会认识的# 一直以为是雨天俩人的交通事故，好像还吵起来了，具体忘了 
2023-01-18 00:02:02,娱乐圈头条这篇小说的男主真的巨雷。男主设定是官二代+富二代的太子爷（额，四字事件后对太子爷ptsd），心情不好可以随随便便飙车造成交通事故，又心情不好在电梯里把一个不长眼的炮灰直接打得住院（看这一段的时候恰好看见王思聪打人的新闻，脑子里全程带入王思聪的脸），又又因为女主被其它男 ...全文
2023-01-17 23:59:36,【事故首发】1月17日23:52G8513平绵高速平天段发生交通事故，请注意！2023年1月17日23:52G8513平绵高速平天段K199+880处（国际陆港服务区附近），往天水方向发生交通事故，处置期间，道路半幅通行。请途经车辆减速慢行，注意行车安全。获取后续进展及了解最新路况信息请下载甘肃高速APP或关注甘肃高 ...全文
2023-01-17 23:57:31,【3小时落网！绵阳盐亭交警快速破获一起交通肇事逃逸案】#覆车之戒# 2022年12月17日，绵阳市盐亭县公安局依法对涉嫌交通肇事的犯罪嫌疑人李某毅刑事拘留。16日6时50分许，@盐亭公安交警 接到报警称，在盐蓬路发生一起交通事故，一车辆将一名行人撞伤后向城区方向逃逸。接警后，值班民警立即赶赴事故现 ...全文
2023-01-17 23:56:50,#平安2023# 【郝平安的交通安全日记——车辆超员“驶”不得，安全出行“挤”不下】快过年了，开黑车赚点外快？一家人出行，挤一挤多座两个？贪图一时便利，危险随之而来。违法交通规则，扣分罚款事小，造成交通事故，事情可就大了！时刻牢记：依法依规驾驶，安全文明行车。#警察叔叔的兔年新愿#  ...全文
2023-01-17 23:55:28,#张若昀和唐艺昕是朋友聚会认识的#原来是聚会吗？我还记得不知道在哪里看到张若昀和唐艺昕是一次交通事故意外的在一起了！当时还感叹果然小说来源于生活，原来是骗我的 
2023-01-17 23:51:29,#张若昀和唐艺昕是朋友聚会认识的#这个故事告诉我们要多参加朋友聚会不过这一对第一次见面是交通事故追尾不欢而散，后来在聚会上才算重新认识，有点像小说情节呢 
2023-01-17 23:45:28,#公安部今天起严查酒驾醉驾# 饮酒后会使人反应迟钝、注意力分散，视野减小且容易冲动，非常危险......很多交通事故都是因为酒后驾车导致的，山山呼吁大家：为了不让悲剧重演，为了自己和他人的安全，拒绝酒驾，平安出行。山东消防的微博视频  
2023-01-17 23:39:00,#张若昀和唐艺昕是朋友聚会认识的#别一张嘴乱叫，so第一次见面是交通事故追尾，只不过双方不欢而散，后来再次在朋友聚会那么巧又遇见了才正真结缘认识。他两一个在微博说过第一次见不欢而散，张也说第一次见其实没有大家想的那么浪漫。毕竟第一次就交通事故认识的，怎么可能愉快，姐姐现在很幸福甜蜜 ...全文
2023-01-17 23:37:54,#张若昀和唐艺昕是朋友聚会认识的#第一次见面确实是交通事故追尾，只不过双方不欢而散，后来再次在朋友聚会那么巧又遇见了才真正结缘认识。他俩一个在微博说过第一次见不欢而散，张也说第一次见面其实没有大家想的那么浪漫。 
2023-01-17 23:35:54,#路况提示# 实时路况请查看江西高速“路况简图”：网页链接一、交通事故：G76厦蓉高速瑞赣段K368+900公里处（于都东隧道内、往赣州方向）一辆小车发生故障占用行车道，现场单道缓慢通行。二、道路拥堵：G60沪昆高速梨温段K577公里处（弋阳附近，往南昌方向）因路面车流量大，现场双车 ...全文
2023-01-17 23:32:42,#玛检微转##安哥说法#【#警方堵截春运碰瓷团伙#】春运期间，故意制造交通事故“碰瓷”的行为令人深恶痛绝。近日，广东@平安惠州 警方在收费站出口现场堵截碰瓷嫌疑车辆，成功抓获2名犯罪嫌疑人，缴获作案用车一辆、假车牌一副、铁螺母一批。安哥：回家路上“拦路虎”？蜀黍抓你没商量！#2023年春运#   ...全文
2023-01-17 23:31:51,【酒后驾车有多危险】饮酒后会使人反应迟钝、注意力分散、出现视觉障碍且容易冲动，此时驾车会将自己和他人的生命安全置于危险之中。消防员处置的车祸救援中，因酒驾醉驾引起的交通事故时有发生。再次提醒：喝酒不开车、开车不喝酒。请珍爱生命，拒绝酒驾。#公安部今天起严查酒驾醉驾#  ...全文
2023-01-17 23:31:50,#文明守法平安回家##覆车之戒# 【火眼金睛识真相 肇事逃逸终被抓】1月15日清晨7时04分，石嘴山市红果子交警大队辖区内发生了一起小车碰撞行人的交通事故，肇事司机逃逸，现场有人员受伤。接警后，当日值班民警迅速前往惠农区110国道由南向北行驶至1156公里东侧公交站台附近的事故发生地点。　　红果子 ...全文
2023-01-17 23:30:07,【所队合力 迅速出击 绥阳公安一举捣毁“碰瓷”敲诈团伙】近日，绥阳县公安局多警联动、快速反应、线索深挖、巡线追踪，成功打掉一个以“交通碰瓷”形式实施敲诈勒索的犯罪团伙，抓获犯罪嫌疑人7名，破获敲诈勒索案件9起。专挑酒驾司机下手 故意制造交通事故1月9日，旺草派出所接群众蒋某报案，称其 ...全文
2023-01-17 23:28:19,法考#民法典微课堂# 【借车发生交通事故，是实际驾驶人还是车主承担赔偿责任？】 #安徽一劳斯莱斯婚车撞上石墩受损严重# 
